Epoch,IoU,Dice,Precision,Recall,Sensitivity,Specificity,F1,Split,Class
4,0.13068801,0.15532836,0.13238671,0.9612249,0.9612249,0.9228499,0.15532836,train,Arteriole media
4,0.012944762,0.023458948,0.01295086,0.99884284,0.99884284,0.49874216,0.02345895,train,Arteriole adventitia
4,0.00091949414,0.0017630982,0.00092753087,0.78837824,0.78837824,0.65238726,0.0017630984,train,Capillary lumen
4,0.006735721,0.0100900205,0.008519413,0.70791805,0.70791805,0.8748173,0.01009002,train,Capillary wall
4,0.33997595,0.37336543,0.36022374,0.864123,0.864123,0.99158686,0.37336543,train,Venule lumen
4,0.17231801,0.21141958,0.17978203,0.8483199,0.8483199,0.9279331,0.21141958,train,Venule wall
4,0.2378045,0.27524543,0.33292645,0.86881816,0.86881816,0.98145354,0.27524543,train,Immune cells
4,0.59457207,0.6154884,0.6267915,0.96569914,0.96569914,0.99057066,0.6154884,train,Nerve trunks
4,0.19615835,0.21661632,0.21446508,0.884085,0.884085,0.87018263,0.21661632,train,Mean
5,0.1998656,0.24140331,0.20137694,0.99139524,0.99139524,0.991661,0.24140331,test,Arteriole lumen
5,0.15133452,0.19167802,0.16644172,0.93352294,0.93352294,0.974108,0.19167802,test,Arteriole media
5,0.0070347544,0.012133614,0.0070566256,0.99760884,0.99760884,0.49160057,0.012133614,test,Arteriole adventitia
5,0.04973248,0.08848172,0.05074784,0.8221624,0.8221624,0.95492655,0.08848172,test,Capillary lumen
5,0.10515104,0.16875747,0.13967009,0.80415046,0.80415046,0.9514066,0.16875748,test,Capillary wall
5,0.14226487,0.16358015,0.15112822,0.9811351,0.9811351,0.9911108,0.16358015,test,Venule lumen
5,0.12319972,0.14425498,0.13669287,0.96020335,0.96020335,0.9812708,0.14425498,test,Venule wall
5,0.5774305,0.58625513,0.57857805,0.9972225,0.9972225,0.9992043,0.58625513,test,Immune cells
5,0.25457188,0.257706,0.25474203,0.9997796,0.9997796,0.9875779,0.257706,test,Nerve trunks
5,0.17895393,0.20602782,0.1873816,0.9430201,0.9430201,0.92476296,0.20602782,test,Mean
5,0.5157274,0.53341794,0.5214367,0.98442775,0.98442775,0.99105084,0.53341794,train,Arteriole lumen
5,0.2922675,0.32437158,0.30039352,0.9155302,0.9155302,0.9747485,0.32437158,train,Arteriole media
5,0.015149027,0.02727354,0.015165957,0.9921881,0.9921881,0.5076405,0.02727354,train,Arteriole adventitia
5,0.025648309,0.042425394,0.025714776,0.8890187,0.8890187,0.9142302,0.042425398,train,Capillary lumen
5,0.050503455,0.074422546,0.068902925,0.8717223,0.8717223,0.9134796,0.07442255,train,Capillary wall
5,0.6284113,0.66326296,0.65891683,0.958305,0.958305,0.99672794,0.66326296,train,Venule lumen
5,0.26213926,0.3069382,0.27198756,0.96313906,0.96313906,0.9615668,0.3069382,train,Venule wall
